classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
684782454,AlyssaSH,2935655,4eb86038ff2d2a5f8daa,30643,Precipitation Classification,8.13,2025-11-21 11:19:35 UTC,,,"{""source"":""api"",""session"":""2e89d302b6824468f5ace7861930f581c9eb8d50775f20b40e25aacdbcd79117"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:18:44.736Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:19:35.698Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:18:44.657Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""Minor""}]","{""115952226"":{""retired"":null,""image_name"":""MerapiView5_2024-02-25T060250_fltrA_1ag_499991ss_Plume.png"",""image_name_B"":""MerapiView5_2024-02-25T060250_fltrB_1ag_59979ss_Plume.png"",""volcano_name"":""Merapi"",""on_lens_level"":""Minor"",""plus_ten_s_name"":""MerapiView5_2024-02-25T060300_fltrA_1ag_499991ss_Plume.png"",""minus_ten_s_name"":""MerapiView5_2024-02-25T060240_fltrA_1ag_499991ss_Plume.png"",""plus_ten_s_name_B"":""MerapiView5_2024-02-25T060300_fltrB_1ag_69985ss_Plume.png"",""minus_ten_s_name_B"":""MerapiView5_2024-02-25T060240_fltrB_1ag_59979ss_Plume.png"",""volcano_dictionary_name"":""MerapiView5""}}",115952226
684783299,AlyssaSH,2935655,f30ae0f5cf9d7549ba12,30643,Precipitation Classification,8.13,2025-11-21 11:26:43 UTC,,,"{""source"":""api"",""session"":""2e89d302b6824468f5ace7861930f581c9eb8d50775f20b40e25aacdbcd79117"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:19:40.978Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:26:43.260Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451},{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451},{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451},{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451},{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451},{""clientWidth"":578,""clientHeight"":451,""naturalWidth"":578,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:18:44.657Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""Very""}]","{""115952190"":{""retired"":null,""image_name"":""KilaueaView2_2023-05-27T023615_fltrA_1ag_999904ss_Plume.png"",""image_name_B"":""KilaueaView2_2023-05-27T023615_fltrB_1ag_99980ss_Plume.png"",""volcano_name"":""Kilauea"",""on_lens_level"":""Very"",""plus_ten_s_name"":""KilaueaView2_2023-05-27T023625_fltrA_1ag_999904ss_Plume.png"",""minus_ten_s_name"":""KilaueaView2_2023-05-27T023605_fltrA_1ag_999904ss_Plume.png"",""plus_ten_s_name_B"":""KilaueaView2_2023-05-27T023625_fltrB_1ag_99980ss_Plume.png"",""minus_ten_s_name_B"":""KilaueaView2_2023-05-27T023605_fltrB_1ag_99980ss_Plume.png"",""volcano_dictionary_name"":""KilaueaView2""}}",115952190
684783719,AlyssaSH,2935655,cc2f5845a6f06d0a97db,30643,Precipitation Classification,8.13,2025-11-21 11:29:53 UTC,,,"{""source"":""api"",""session"":""2e89d302b6824468f5ace7861930f581c9eb8d50775f20b40e25aacdbcd79117"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:29:24.835Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:29:52.149Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:18:44.657Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""No""}]","{""115952257"":{""retired"":null,""image_name"":""Lastarria_2022-12-27T145720_fltrA_1ag_499991ss_Plume.png"",""image_name_B"":""Lastarria_2022-12-27T145720_fltrB_1ag_199994ss_Plume.png"",""volcano_name"":""Lastarria"",""on_lens_level"":""Minor"",""plus_ten_s_name"":""Lastarria_2022-12-27T145730_fltrA_1ag_499991ss_Plume.png"",""minus_ten_s_name"":""Lastarria_2022-12-27T145710_fltrA_1ag_588352ss_Plume.png"",""plus_ten_s_name_B"":""Lastarria_2022-12-27T145730_fltrB_1ag_149987ss_Plume.png"",""minus_ten_s_name_B"":""Lastarria_2022-12-27T145710_fltrB_1ag_149987ss_Plume.png"",""volcano_dictionary_name"":""Lastarria""}}",115952257
684783834,AlyssaSH,2935655,cc2f5845a6f06d0a97db,30643,Precipitation Classification,8.13,2025-11-21 11:30:39 UTC,,,"{""source"":""api"",""session"":""2e89d302b6824468f5ace7861930f581c9eb8d50775f20b40e25aacdbcd79117"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:29:53.083Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:30:39.156Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:18:44.657Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""Not Calc""}]","{""115952252"":{""retired"":null,""image_name"":""MerapiView5_2024-03-06T003615_fltrA_1ag_999904ss_Plume.png"",""image_name_B"":""MerapiView5_2024-03-06T003615_fltrB_1ag_99980ss_Plume.png"",""volcano_name"":""Merapi"",""on_lens_level"":""Not Calc"",""plus_ten_s_name"":""MerapiView5_2024-03-06T003625_fltrA_1ag_999904ss_Plume.png"",""minus_ten_s_name"":""MerapiView5_2024-03-06T003605_fltrA_1ag_999904ss_Plume.png"",""plus_ten_s_name_B"":""MerapiView5_2024-03-06T003625_fltrB_1ag_89997ss_Plume.png"",""minus_ten_s_name_B"":""MerapiView5_2024-03-06T003605_fltrB_1ag_99980ss_Plume.png"",""volcano_dictionary_name"":""MerapiView5""}}",115952252
684783861,AlyssaSH,2935655,cc2f5845a6f06d0a97db,30643,Precipitation Classification,8.13,2025-11-21 11:30:47 UTC,,,"{""source"":""api"",""session"":""2e89d302b6824468f5ace7861930f581c9eb8d50775f20b40e25aacdbcd79117"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:30:40.186Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:30:47.414Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},null,null,{""clientWidth"":573,""clientHeight"":451,""naturalWidth"":573,""naturalHeight"":451},null],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:18:44.657Z"",""already_seen"":false,""selection_state"":""failover_fallback"",""finished_workflow"":false,""user_has_finished_workflow"":true},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""Minor""}]","{""115952218"":{""retired"":null,""image_name"":""MerapiView5_2024-03-08T032640_fltrA_1ag_499991ss_Plume.png"",""image_name_B"":""MerapiView5_2024-03-08T032640_fltrB_1ag_79991ss_Plume.png"",""volcano_name"":""Merapi"",""on_lens_level"":""Minor"",""plus_ten_s_name"":""MerapiView5_2024-03-08T032650_fltrA_1ag_499991ss_Plume.png"",""minus_ten_s_name"":""MerapiView5_2024-03-08T032630_fltrA_1ag_499991ss_Plume.png"",""plus_ten_s_name_B"":""MerapiView5_2024-03-08T032650_fltrB_1ag_79991ss_Plume.png"",""minus_ten_s_name_B"":""MerapiView5_2024-03-08T032630_fltrB_1ag_79991ss_Plume.png"",""volcano_dictionary_name"":""MerapiView5""}}",115952218
684786310,AlyssaSH,2935655,c55736498a34959a81ff,30643,Precipitation Classification,8.13,2025-11-21 11:49:03 UTC,,,"{""source"":""api"",""session"":""b2d9dd993ae554401d7739d7b6be91d83b330b2a60f89d55e52e1494e8cdab62"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:47:35.922Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:49:03.528Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:47:35.839Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""In Calc""}]","{""115952300"":{""retired"":null,""image_name"":""CotopaxiView4_2024-01-16T163615_fltrA_1ag_999904ss_Plume.png"",""image_name_B"":""CotopaxiView4_2024-01-16T163615_fltrB_1ag_249978ss_Plume.png"",""volcano_name"":""Cotopaxi"",""on_lens_level"":""Very"",""plus_ten_s_name"":""CotopaxiView4_2024-01-16T163625_fltrA_1ag_999904ss_Plume.png"",""minus_ten_s_name"":""CotopaxiView4_2024-01-16T163600_fltrA_1ag_999904ss_Plume.png"",""plus_ten_s_name_B"":""CotopaxiView4_2024-01-16T163625_fltrB_1ag_199994ss_Plume.png"",""minus_ten_s_name_B"":""CotopaxiView4_2024-01-16T163600_fltrB_1ag_249978ss_Plume.png"",""volcano_dictionary_name"":""CotopaxiView4""}}",115952300
684786334,AlyssaSH,2935655,c55736498a34959a81ff,30643,Precipitation Classification,8.13,2025-11-21 11:49:16 UTC,,,"{""source"":""api"",""session"":""b2d9dd993ae554401d7739d7b6be91d83b330b2a60f89d55e52e1494e8cdab62"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:49:04.580Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:49:16.821Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},null,null,{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451}],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:47:35.839Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""Very""}]","{""115952209"":{""retired"":null,""image_name"":""Reventador2024_2024-02-29T151115_fltrA_1ag_999904ss_Plume.png"",""image_name_B"":""Reventador2024_2024-02-29T151115_fltrB_1ag_149987ss_Plume.png"",""volcano_name"":""Reventador"",""on_lens_level"":""Very"",""plus_ten_s_name"":""Reventador2024_2024-02-29T151125_fltrA_1ag_999904ss_Plume.png"",""minus_ten_s_name"":""Reventador2024_2024-02-29T151100_fltrA_1ag_999904ss_Plume.png"",""plus_ten_s_name_B"":""Reventador2024_2024-02-29T151125_fltrB_1ag_149987ss_Plume.png"",""minus_ten_s_name_B"":""Reventador2024_2024-02-29T151100_fltrB_1ag_149987ss_Plume.png"",""volcano_dictionary_name"":""Reventador2024""}}",115952209
684786354,AlyssaSH,2935655,c55736498a34959a81ff,30643,Precipitation Classification,8.13,2025-11-21 11:49:27 UTC,,,"{""source"":""api"",""session"":""b2d9dd993ae554401d7739d7b6be91d83b330b2a60f89d55e52e1494e8cdab62"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:49:17.718Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:49:27.575Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},null,null,{""clientWidth"":605,""clientHeight"":451,""naturalWidth"":605,""naturalHeight"":451},null],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:47:35.839Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""In Calc""}]","{""115952290"":{""retired"":null,""image_name"":""Reventador2024_2024-02-14T164945_fltrA_1ag_999904ss_Plume.png"",""image_name_B"":""Reventador2024_2024-02-14T164945_fltrB_1ag_149987ss_Plume.png"",""volcano_name"":""Reventador"",""on_lens_level"":""Not Calc"",""plus_ten_s_name"":""Reventador2024_2024-02-14T164955_fltrA_1ag_999904ss_Plume.png"",""minus_ten_s_name"":""Reventador2024_2024-02-14T164935_fltrA_1ag_999904ss_Plume.png"",""plus_ten_s_name_B"":""Reventador2024_2024-02-14T164955_fltrB_1ag_149987ss_Plume.png"",""minus_ten_s_name_B"":""Reventador2024_2024-02-14T164935_fltrB_1ag_149987ss_Plume.png"",""volcano_dictionary_name"":""Reventador2024""}}",115952290
684787198,AlyssaSH,2935655,24b5bb90dc11bfc8fcde,30643,Precipitation Classification,8.13,2025-11-21 11:56:31 UTC,,,"{""source"":""api"",""session"":""efafddd19168230e338223acaa293c2e4ef8a7773d76ae8bc963490074241fcb"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:56:21.081Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:56:31.379Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},null,null,{""clientWidth"":540,""clientHeight"":451,""naturalWidth"":540,""naturalHeight"":451},null],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:56:21.002Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""In Calc""}]","{""115952219"":{""retired"":null,""image_name"":""Lastarria_2022-12-12T163030_fltrA_1ag_899923ss_Plume.png"",""image_name_B"":""Lastarria_2022-12-12T163030_fltrB_1ag_299986ss_Plume.png"",""volcano_name"":""Lastarria"",""on_lens_level"":""In Calc"",""plus_ten_s_name"":""Lastarria_2022-12-12T163040_fltrA_1ag_899923ss_Plume.png"",""minus_ten_s_name"":""Lastarria_2022-12-12T163020_fltrA_1ag_899923ss_Plume.png"",""plus_ten_s_name_B"":""Lastarria_2022-12-12T163040_fltrB_1ag_299986ss_Plume.png"",""minus_ten_s_name_B"":""Lastarria_2022-12-12T163020_fltrB_1ag_299986ss_Plume.png"",""volcano_dictionary_name"":""Lastarria""}}",115952219
684787236,AlyssaSH,2935655,24b5bb90dc11bfc8fcde,30643,Precipitation Classification,8.13,2025-11-21 11:56:45 UTC,,,"{""source"":""api"",""session"":""efafddd19168230e338223acaa293c2e4ef8a7773d76ae8bc963490074241fcb"",""viewport"":{""width"":1363,""height"":625},""started_at"":""2025-11-21T11:56:32.298Z"",""user_agent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0"",""utc_offset"":""0"",""finished_at"":""2025-11-21T11:56:45.229Z"",""live_project"":false,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},null,null,{""clientWidth"":590,""clientHeight"":451,""naturalWidth"":590,""naturalHeight"":451},null],""subject_selection_state"":{""retired"":false,""selected_at"":""2025-11-21T11:56:21.002Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""91549""}","[{""task"":""T0"",""task_label"":""Please select the precipitation level (considering both band A and B for the middle timestep (+-10s images also displayed for each band))"",""value"":""No""}]","{""115952223"":{""retired"":null,""image_name"":""CotopaxiView3_2023-06-25T211000_fltrA_1ag_349993ss_Plume.png"",""image_name_B"":""CotopaxiView3_2023-06-25T211000_fltrB_1ag_49996ss_Plume.png"",""volcano_name"":""Cotopaxi"",""on_lens_level"":""Minor"",""plus_ten_s_name"":""CotopaxiView3_2023-06-25T211010_fltrA_1ag_349993ss_Plume.png"",""minus_ten_s_name"":""CotopaxiView3_2023-06-25T210950_fltrA_1ag_349993ss_Plume.png"",""plus_ten_s_name_B"":""CotopaxiView3_2023-06-25T211010_fltrB_1ag_49996ss_Plume.png"",""minus_ten_s_name_B"":""CotopaxiView3_2023-06-25T210950_fltrB_1ag_49996ss_Plume.png"",""volcano_dictionary_name"":""CotopaxiView3""}}",115952223
